Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
2598,8/7/2015,Hopping Chef,Online Food-Tech Platform,N/A,Mumbai,Mirah Hospitality,Seed Funding,"4,70,000",Strategic Investment
2599,8/7/2015,Collectabillia,Celebrity Fashion Brand,N/A,Bangalore,Accel Partners,Private Equity Funding,"75,00,000",Series B
2600,8/7/2015,Lendingkart,Online Finance lending platform,N/A,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity Funding,"1,00,00,000",Series A
2601,8/7/2015,Lybrate,Healthcare Mobile App,N/A,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity Funding,"1,02,00,000",Series A
2602,8/7/2015,Zoomcar,Self-driven vehicle rental,N/A,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity Funding,"1,10,00,000",Series B
2603,9/7/2015,News in shorts,News Aggregator mobile app,N/A,Noida,Tiger Global,Private Equity Funding,"$20,000,000.00",Series B
2604,9/7/2015,Bluestone,Online Jewellery Store,N/A,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity Funding,"$16,200,000.00",N/A
2605,9/7/2015,Shopsity,Fashion Info Aggregator App,N/A,Gurgaon," Sandeep Aggarwal, Teruhide Sato",Seed Funding,,N/A
2606,9/7/2015,Notesgen,Online Study Notes Marketplace,N/A,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,,N/A
2607,10/7/2015,Infinity Assurance,Warranty Programs Service Administration,N/A,New Delhi,Indian Angel Network,Seed Funding,"$600,000.00",N/A
2608,10/7/2015,Footprints Education,Pre-School Chain,N/A,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"$685,000.00",N/A
2609,10/7/2015,Loylty Rewards,Premium Loyalty Rewards Point Management,N/A,Mumbai,IndianIdeas.com,Private Equity Funding,"$19,350,000.00",Late Stage
2610,7/13/2015,Ameyo,Contact Center Software Platform,N/A,Gurgaon,Forum Synergies PE Fund,Private Equity Funding,"$5,000,000.00",Series A
2611,7/13/2015,Mamagoto,Casual Dining restaurant Chain,N/A,New Delhi,Goldman Sachs,Private Equity Funding,"$10,000,000.00",Series A
2612,7/13/2015,Satvacart,Online Grocery Delivery,N/A,Gurgaon,Palaash Ventures,Seed Funding,,N/A
2613,7/14/2015,MySmartPrice,Online comparison engine,N/A,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity Funding,"1,00,00,000",Series B
2614,7/14/2015,Zenify,Residential Rental management platform,N/A,Bangalore,Atul Jalan,Seed Funding,,N/A
2615,7/14/2015,Boxmyspace,Physical Storage warehouses,N/A,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"3,00,000",N/A
2616,7/14/2015,HackerRank,Tech Recruitment platform,N/A,Bangalore,HR Technology fund,Private Equity Funding,"75,00,000",Series C
2617,7/14/2015,WickedRide,Bike Rental Platform,N/A,Bangalore,Undisclosed,Seed Funding,"7,90,000",N/A
2618,7/14/2015,WoWexpress,Tech enabled logistics platform,N/A,Mumbai,Tamarind Family Private Trust,Seed Funding,"5,00,000",N/A
2619,7/15/2015,Oyo Rooms,Budget Hotel Accommodation,N/A,Gurgaon,"Softbank, Sequoia Capital",Private Equity Funding,"10,00,00,000",Series B
2620,7/15/2015,Mobikon,Restaurant customer engagement platform,N/A,Pune,Jungle Ventures,Private Equity Funding,"23,00,000",Series B
2621,7/15/2015,InstaLively.com,Live video streaming app,N/A,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,,N/A
2622,7/15/2015,Roadrunnr,Hyper local logistics platform,N/A,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity Funding,"1,10,00,000",Series A
2623,7/16/2015,Ketto,Crowd Funding Platform,N/A,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"7,00,000",N/A
2624,7/17/2015,QuikWallet,F&B sector Mobile Payment platform,N/A,Mumbai,Snow Leopard Technology Ventures,Private Equity Funding,"16,00,000",Follow on Funding
2625,7/17/2015,Omnikart,Industrial Supplies B2B ecommerce,N/A,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"1,00,000",N/A
2626,7/20/2015,Zo Rooms,Online budget hotel chain,N/A,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity Funding,"1,50,00,000",No confirmation
2627,7/20/2015,Innoviti,Payment Solutions platform,N/A,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity Funding,"48,50,000",Series A
2628,7/21/2015,ZenRadius,Online Hiring Platform,N/A,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,,N/A
2629,7/21/2015,Joy by nature,Organic Food ecommerce,N/A,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity Funding,"10,00,000",Series A
2630,7/22/2015,Iqlect,Big Data & Analytics platform,N/A,Bangalore,Exfinity Venture Partners,Private Equity Funding,"20,00,000",Series A
2631,7/22/2015,deGustibus,Fine Dining Restaurant Chain,N/A,Mumbai,India Value Fund Advisors,Private Equity Funding,"3,00,00,000",Late Stage
2632,7/23/2015,Nestaway,Luxury Rental Homes,N/A,Bangalore,"Flipkart, Tiger Global",Private Equity Funding,"1,27,50,000",Series A
2633,7/23/2015,Mswipe,Mobile Point of Sale payment solution,N/A,N/A,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity Funding,"2,50,00,000",Series B
2634,7/23/2015,Myonsto,Online Grocers,N/A,Ahmedabad,Jayant Bokadia,Seed Funding,"3,20,000",N/A
2635,7/23/2015,iCrushiFlush,Casual Dating App,N/A,Mumbai,IDG Ventures India,Seed Funding,,N/A
2636,7/23/2015,MedGenome,Clinical Genomics Provider,N/A,Bangalore,Sequoia Capital,Private Equity Funding,"2,00,00,000",Series B
